date,rainfall_mm,temp_c,humidity_pct,wind_speed_ms,station
2000-01-01,0.0,17.57,73.86,3.23,chittagong
2000-01-02,0.0,17.44,69.7,3.09,chittagong
2000-01-03,0.0,17.32,70.6,2.76,chittagong
2000-01-04,0.0,17.27,72.3,2.91,chittagong
2000-01-05,0.0,17.27,71.71,2.45,chittagong
2000-01-06,0.0,16.91,69.83,2.56,chittagong
2000-01-07,0.0,16.49,73.98,2.49,chittagong
2000-01-08,0.0,16.29,68.15,2.99,chittagong
2000-01-09,0.0,16.6,67.51,2.79,chittagong
2000-01-10,0.0,16.9,65.92,2.99,chittagong
2000-01-11,0.0,17.88,66.43,3.04,chittagong
2000-01-12,0.0,18.93,68.34,2.96,chittagong
2000-01-13,0.0,19.18,66.8,2.61,chittagong
2000-01-14,0.0,20.23,67.3,1.9,chittagong
2000-01-15,0.0,20.62,70.5,1.94,chittagong
2000-01-16,0.22,20.2,69.71,2.94,chittagong
2000-01-17,0.0,18.75,69.73,3.56,chittagong
2000-01-18,0.0,16.15,59.98,3.38,chittagong
2000-01-19,0.0,16.98,64.46,2.27,chittagong
2000-01-20,0.0,18.06,71.92,2.77,chittagong
2000-01-21,0.39,18.98,83.41,2.9,chittagong
2000-01-22,5.91,19.71,86.74,2.94,chittagong
2000-01-23,3.68,20.28,84.96,2.64,chittagong
2000-01-24,0.26,20.35,76.9,2.23,chittagong
2000-01-25,0.0,19.24,70.56,3.05,chittagong
2000-01-26,0.0,19.27,65.52,2.93,chittagong
2000-01-27,0.0,19.24,61.29,2.52,chittagong
2000-01-28,0.0,19.77,57.72,2.25,chittagong
2000-01-29,2.85,19.74,66.06,2.66,chittagong
2000-01-30,0.6,18.97,74.62,2.39,chittagong
2000-01-31,0.0,19.13,64.97,2.06,chittagong
2000-02-01,0.0,19.34,59.37,1.82,chittagong
2000-02-02,0.0,19.23,65.93,2.48,chittagong
2000-02-03,0.03,19.7,80.93,2.64,chittagong
2000-02-04,0.02,21.42,78.15,1.91,chittagong
2000-02-05,2.71,22.12,75.53,1.36,chittagong
2000-02-06,1.39,21.44,74.41,2.33,chittagong
2000-02-07,0.05,21.97,72.78,1.68,chittagong
2000-02-08,0.0,20.57,72.03,2.55,chittagong
2000-02-09,0.01,19.67,60.74,3.28,chittagong
2000-02-10,0.11,20.35,61.97,2.84,chittagong
2000-02-11,0.0,19.91,59.19,3.04,chittagong
2000-02-12,0.0,19.95,52.31,2.57,chittagong
2000-02-13,0.01,21.34,58.89,3.47,chittagong
2000-02-14,0.01,22.17,61.86,3.85,chittagong
2000-02-15,0.0,20.88,53.61,4.56,chittagong
2000-02-16,0.0,19.29,46.58,3.26,chittagong
2000-02-17,0.0,20.42,43.47,2.22,chittagong
2000-02-18,0.9,20.29,53.99,2.5,chittagong
2000-02-19,0.06,19.28,55.91,3.46,chittagong
2000-02-20,0.0,19.17,43.68,3.46,chittagong
2000-02-21,0.0,20.08,45.05,3.41,chittagong
2000-02-22,0.0,20.58,48.52,3.47,chittagong
2000-02-23,0.0,21.02,44.97,4.29,chittagong
2000-02-24,0.0,21.35,44.46,3.65,chittagong
2000-02-25,0.0,21.8,41.91,3.85,chittagong
2000-02-26,0.1,21.19,42.32,4.21,chittagong
2000-02-27,0.0,21.17,46.6,3.11,chittagong
2000-02-28,0.0,21.9,41.81,2.32,chittagong
2000-02-29,0.0,21.74,45.8,2.44,chittagong
2000-03-01,0.0,21.45,70.29,3.06,chittagong
2000-03-02,5.76,22.3,84.5,5.12,chittagong
2000-03-03,2.62,23.46,80.62,4.22,chittagong
2000-03-04,0.03,24.11,74.72,3.68,chittagong
2000-03-05,0.11,24.44,75.99,3.23,chittagong
2000-03-06,0.01,24.43,75.23,3.58,chittagong
2000-03-07,0.0,25.71,63.02,2.22,chittagong
2000-03-08,0.11,25.31,71.81,3.19,chittagong
2000-03-09,14.66,23.77,84.76,3.16,chittagong
2000-03-10,2.75,24.24,71.04,2.33,chittagong
2000-03-11,0.01,23.79,76.14,3.0,chittagong
2000-03-12,0.75,24.31,80.97,4.8,chittagong
2000-03-13,3.75,24.89,78.96,6.0,chittagong
2000-03-14,2.1,25.13,77.38,5.49,chittagong
2000-03-15,3.39,25.19,75.99,3.57,chittagong
2000-03-16,0.38,24.62,71.88,2.84,chittagong
2000-03-17,0.2,24.11,62.73,2.09,chittagong
2000-03-18,0.0,24.81,60.24,2.16,chittagong
2000-03-19,0.0,25.88,59.79,2.0,chittagong
2000-03-20,0.0,26.55,60.84,2.04,chittagong
2000-03-21,0.0,26.57,53.4,2.95,chittagong
2000-03-22,0.0,25.71,36.18,3.91,chittagong
2000-03-23,0.0,26.69,36.67,3.84,chittagong
2000-03-24,0.0,27.21,43.24,3.99,chittagong
2000-03-25,0.0,28.11,46.05,4.14,chittagong
2000-03-26,0.0,26.68,40.77,4.06,chittagong
2000-03-27,0.0,27.59,40.72,2.53,chittagong
2000-03-28,0.0,27.77,62.0,2.72,chittagong
2000-03-29,0.0,27.19,63.99,3.23,chittagong
2000-03-30,0.0,26.95,67.47,3.14,chittagong
2000-03-31,0.0,26.64,69.52,2.92,chittagong
2000-04-01,0.0,27.23,72.54,3.87,chittagong
2000-04-02,0.0,27.22,75.29,5.42,chittagong
2000-04-03,0.0,27.21,74.89,5.03,chittagong
2000-04-04,0.0,27.46,72.54,4.46,chittagong
2000-04-05,0.01,27.94,73.8,4.32,chittagong
2000-04-06,0.01,27.81,69.89,5.08,chittagong
2000-04-07,0.01,27.83,68.16,4.57,chittagong
2000-04-08,0.0,27.75,74.9,4.03,chittagong
2000-04-09,0.0,28.17,73.61,4.35,chittagong
2000-04-10,0.0,28.19,76.75,3.98,chittagong
2000-04-11,0.03,27.95,78.57,3.85,chittagong
2000-04-12,0.68,27.64,74.19,3.19,chittagong
2000-04-13,0.05,28.05,70.47,3.17,chittagong
2000-04-14,0.22,28.56,67.28,3.17,chittagong
2000-04-15,0.43,28.89,64.94,3.01,chittagong
2000-04-16,5.23,28.07,68.83,2.08,chittagong
2000-04-17,0.27,28.66,65.93,2.44,chittagong
2000-04-18,0.28,28.38,71.3,3.72,chittagong
2000-04-19,1.0,29.26,71.02,3.07,chittagong
2000-04-20,4.58,28.57,72.36,3.26,chittagong
2000-04-21,3.65,28.49,72.68,3.7,chittagong
2000-04-22,0.2,28.06,73.84,3.99,chittagong
2000-04-23,3.52,28.3,74.67,4.38,chittagong
2000-04-24,17.46,27.18,78.68,4.59,chittagong
2000-04-25,5.92,27.35,76.56,3.91,chittagong
2000-04-26,16.18,27.29,78.09,3.51,chittagong
2000-04-27,0.8,27.93,76.53,4.5,chittagong
2000-04-28,0.61,27.71,81.61,5.2,chittagong
2000-04-29,3.14,28.28,78.68,5.28,chittagong
2000-04-30,8.66,27.41,81.35,5.11,chittagong
2000-05-01,16.52,27.77,82.96,5.2,chittagong
2000-05-02,24.18,27.91,83.39,3.93,chittagong
2000-05-03,0.73,27.62,75.81,1.89,chittagong
2000-05-04,0.64,26.69,74.78,2.73,chittagong
2000-05-05,1.65,28.04,66.37,2.57,chittagong
2000-05-06,4.46,28.46,71.87,2.75,chittagong
2000-05-07,6.23,28.04,75.57,3.2,chittagong
2000-05-08,1.73,28.29,76.96,3.5,chittagong
2000-05-09,1.06,28.76,75.49,2.04,chittagong
2000-05-10,0.04,29.3,74.15,2.02,chittagong
2000-05-11,0.23,29.79,72.56,2.08,chittagong
2000-05-12,0.24,29.72,72.02,1.84,chittagong
2000-05-13,0.0,31.56,64.93,2.86,chittagong
2000-05-14,0.13,31.56,67.19,2.87,chittagong
2000-05-15,2.71,30.22,69.23,2.42,chittagong
2000-05-16,4.92,29.29,73.74,2.04,chittagong
2000-05-17,0.28,29.71,73.73,3.22,chittagong
2000-05-18,19.1,28.43,81.31,4.57,chittagong
2000-05-19,29.45,28.3,85.3,4.01,chittagong
2000-05-20,27.66,27.7,86.69,4.08,chittagong
2000-05-21,22.12,26.97,88.2,4.26,chittagong
2000-05-22,8.56,26.47,90.69,3.49,chittagong
2000-05-23,29.24,27.11,88.59,6.08,chittagong
2000-05-24,19.88,27.18,91.91,6.71,chittagong
2000-05-25,27.57,27.89,91.49,6.86,chittagong
2000-05-26,52.44,27.45,90.95,6.81,chittagong
2000-05-27,42.42,27.39,89.85,6.38,chittagong
2000-05-28,19.39,27.37,90.16,4.94,chittagong
2000-05-29,30.84,26.97,88.37,3.12,chittagong
2000-05-30,0.52,27.35,88.49,2.68,chittagong
2000-05-31,6.07,27.72,87.54,2.01,chittagong
2000-06-01,0.53,27.87,86.4,2.38,chittagong
2000-06-02,2.15,28.84,81.39,1.11,chittagong
2000-06-03,6.32,29.45,81.8,1.74,chittagong
2000-06-04,14.43,29.15,86.14,2.24,chittagong
2000-06-05,11.81,28.59,86.69,3.93,chittagong
2000-06-06,7.63,27.93,87.5,5.59,chittagong
2000-06-07,14.85,27.57,89.2,4.78,chittagong
2000-06-08,15.37,27.83,88.46,4.74,chittagong
2000-06-09,5.75,28.1,88.55,5.29,chittagong
2000-06-10,14.81,27.72,90.59,6.37,chittagong
2000-06-11,55.5,27.61,90.34,7.43,chittagong
2000-06-12,74.87,27.32,92.23,5.67,chittagong
2000-06-13,23.16,27.53,90.69,4.38,chittagong
2000-06-14,0.72,27.97,88.32,3.16,chittagong
2000-06-15,3.94,27.4,90.28,2.22,chittagong
2000-06-16,4.17,28.14,87.69,3.07,chittagong
2000-06-17,12.0,27.59,90.26,4.74,chittagong
2000-06-18,6.22,27.37,89.12,5.71,chittagong
2000-06-19,11.81,27.33,89.37,4.89,chittagong
2000-06-20,21.23,27.3,90.81,4.71,chittagong
2000-06-21,2.24,27.61,87.71,5.25,chittagong
2000-06-22,19.62,27.57,88.06,6.22,chittagong
2000-06-23,27.98,27.82,89.51,6.93,chittagong
2000-06-24,59.64,27.38,92.46,6.11,chittagong
2000-06-25,59.62,27.58,89.36,4.71,chittagong
2000-06-26,3.12,27.61,89.31,4.12,chittagong
2000-06-27,1.55,27.85,90.53,3.49,chittagong
2000-06-28,2.46,27.36,91.8,3.77,chittagong
2000-06-29,0.73,27.69,88.02,3.46,chittagong
2000-06-30,5.65,27.85,88.02,2.69,chittagong
2000-07-01,11.08,28.31,86.63,2.49,chittagong
2000-07-02,1.56,28.95,80.46,1.57,chittagong
2000-07-03,0.48,29.05,80.25,1.67,chittagong
2000-07-04,0.01,28.88,81.36,1.77,chittagong
2000-07-05,0.06,29.12,82.7,2.13,chittagong
2000-07-06,2.23,28.25,87.71,2.87,chittagong
2000-07-07,7.25,28.12,89.16,3.71,chittagong
2000-07-08,7.6,28.53,88.66,5.05,chittagong
2000-07-09,18.49,28.35,90.15,4.92,chittagong
2000-07-10,12.14,28.16,88.97,4.74,chittagong
2000-07-11,3.54,28.5,88.38,4.51,chittagong
2000-07-12,19.15,28.08,88.3,7.89,chittagong
2000-07-13,20.41,27.85,88.77,7.02,chittagong
2000-07-14,12.6,28.19,88.91,5.35,chittagong
2000-07-15,2.82,27.91,90.41,4.07,chittagong
2000-07-16,0.52,28.11,87.6,6.04,chittagong
2000-07-17,4.1,27.72,92.89,5.38,chittagong
2000-07-18,20.13,27.52,91.44,7.88,chittagong
2000-07-19,34.73,27.4,90.16,6.22,chittagong
2000-07-20,38.62,27.54,92.17,5.26,chittagong
2000-07-21,11.13,27.22,91.74,3.47,chittagong
2000-07-22,5.07,27.42,88.53,5.7,chittagong
2000-07-23,5.09,27.69,88.81,3.61,chittagong
2000-07-24,1.22,27.22,91.84,7.45,chittagong
2000-07-25,1.94,27.44,88.85,6.37,chittagong
2000-07-26,3.25,27.09,89.67,5.21,chittagong
2000-07-27,3.8,26.69,89.85,5.22,chittagong
2000-07-28,0.17,27.21,88.82,4.18,chittagong
2000-07-29,1.3,27.35,88.4,3.41,chittagong
2000-07-30,3.46,27.13,88.3,3.79,chittagong
2000-07-31,5.15,27.54,86.87,4.77,chittagong
2000-08-01,47.96,27.52,88.68,5.52,chittagong
2000-08-02,79.18,27.41,89.75,5.35,chittagong
2000-08-03,24.95,27.34,90.87,5.3,chittagong
2000-08-04,14.8,27.82,89.16,4.04,chittagong
2000-08-05,5.39,27.67,87.21,3.56,chittagong
2000-08-06,1.65,27.62,89.1,2.17,chittagong
2000-08-07,3.82,28.02,87.72,2.23,chittagong
2000-08-08,2.49,28.27,88.19,3.09,chittagong
2000-08-09,1.58,28.04,88.15,3.67,chittagong
2000-08-10,6.72,27.6,88.62,4.18,chittagong
2000-08-11,5.21,27.15,90.63,4.88,chittagong
2000-08-12,4.99,27.1,91.28,3.83,chittagong
2000-08-13,11.7,26.73,91.56,4.14,chittagong
2000-08-14,22.67,27.3,89.08,5.19,chittagong
2000-08-15,33.44,27.12,91.87,4.69,chittagong
2000-08-16,44.04,27.62,91.03,4.36,chittagong
2000-08-17,14.81,27.88,88.94,3.58,chittagong
2000-08-18,0.5,27.91,87.81,4.62,chittagong
2000-08-19,0.74,27.41,89.2,4.52,chittagong
2000-08-20,0.33,27.69,88.43,3.77,chittagong
2000-08-21,1.11,28.12,85.89,2.58,chittagong
2000-08-22,4.1,28.33,84.47,1.7,chittagong
2000-08-23,2.57,27.95,86.83,2.84,chittagong
2000-08-24,3.23,28.8,82.77,2.53,chittagong
2000-08-25,0.11,28.74,85.59,2.6,chittagong
2000-08-26,1.97,28.47,85.22,3.16,chittagong
2000-08-27,2.28,28.3,86.44,4.0,chittagong
2000-08-28,4.03,28.1,89.25,4.43,chittagong
2000-08-29,23.0,27.43,92.4,5.56,chittagong
2000-08-30,39.99,27.34,93.86,7.06,chittagong
2000-08-31,31.53,27.83,89.94,7.5,chittagong
2000-09-01,21.0,27.85,90.77,4.19,chittagong
2000-09-02,2.87,27.64,91.22,4.42,chittagong
2000-09-03,4.14,27.89,89.44,4.95,chittagong
2000-09-04,1.51,27.53,88.85,4.23,chittagong
2000-09-05,1.1,27.56,89.8,2.99,chittagong
2000-09-06,3.89,26.98,91.28,5.4,chittagong
2000-09-07,0.13,27.45,88.6,5.33,chittagong
2000-09-08,0.2,27.34,88.62,5.15,chittagong
2000-09-09,1.89,27.45,89.29,5.11,chittagong
2000-09-10,3.0,27.22,89.73,4.12,chittagong
2000-09-11,0.65,27.95,88.1,2.46,chittagong
2000-09-12,1.39,27.3,91.62,2.56,chittagong
2000-09-13,2.81,26.84,92.15,5.98,chittagong
2000-09-14,1.28,27.43,88.96,4.25,chittagong
2000-09-15,0.99,27.31,88.92,3.0,chittagong
2000-09-16,1.18,27.16,90.13,2.87,chittagong
2000-09-17,9.73,26.8,91.28,3.04,chittagong
2000-09-18,6.13,26.7,90.41,2.79,chittagong
2000-09-19,4.79,26.63,86.92,2.45,chittagong
2000-09-20,5.37,27.06,82.96,1.59,chittagong
2000-09-21,1.84,27.15,82.62,2.3,chittagong
