date,rainfall_mm,temp_c,humidity_pct,wind_speed_ms,station
2000-01-01,0.0,16.56,71.22,2.43,rangpur
2000-01-02,0.0,16.09,73.32,3.02,rangpur
2000-01-03,0.0,16.22,69.16,2.52,rangpur
2000-01-04,0.0,16.33,57.62,1.92,rangpur
2000-01-05,0.0,16.21,59.74,2.08,rangpur
2000-01-06,0.0,16.18,65.06,2.17,rangpur
2000-01-07,0.0,16.22,56.29,1.84,rangpur
2000-01-08,0.0,14.99,55.87,1.94,rangpur
2000-01-09,0.0,15.57,61.59,2.13,rangpur
2000-01-10,0.0,16.53,45.07,1.22,rangpur
2000-01-11,0.0,16.74,58.86,2.74,rangpur
2000-01-12,0.0,16.83,66.61,2.71,rangpur
2000-01-13,0.0,18.35,63.72,1.91,rangpur
2000-01-14,0.0,19.54,60.81,1.73,rangpur
2000-01-15,0.05,17.77,59.82,2.83,rangpur
2000-01-16,0.12,18.52,56.24,2.51,rangpur
2000-01-17,0.0,14.94,48.99,3.37,rangpur
2000-01-18,0.0,14.87,48.65,1.76,rangpur
2000-01-19,0.0,15.82,55.61,2.04,rangpur
2000-01-20,0.0,17.31,43.45,1.95,rangpur
2000-01-21,0.0,16.97,58.38,2.97,rangpur
2000-01-22,0.17,17.87,65.29,2.76,rangpur
2000-01-23,2.01,18.03,67.06,2.83,rangpur
2000-01-24,2.53,17.61,72.99,2.94,rangpur
2000-01-25,0.0,17.79,69.0,2.95,rangpur
2000-01-26,0.0,17.86,67.87,3.29,rangpur
2000-01-27,0.0,18.82,55.0,1.92,rangpur
2000-01-28,0.43,19.08,50.48,2.41,rangpur
2000-01-29,0.22,18.74,55.43,2.42,rangpur
2000-01-30,0.0,17.34,48.34,1.76,rangpur
2000-01-31,0.0,16.9,59.99,2.83,rangpur
2000-02-01,0.0,17.96,59.87,2.29,rangpur
2000-02-02,6.72,16.88,71.83,4.03,rangpur
2000-02-03,0.01,18.19,67.65,2.45,rangpur
2000-02-04,0.0,18.16,63.48,2.69,rangpur
2000-02-05,3.22,18.32,65.58,3.05,rangpur
2000-02-06,9.09,17.29,80.38,3.78,rangpur
2000-02-07,0.44,18.92,71.52,2.5,rangpur
2000-02-08,0.0,19.19,54.53,2.13,rangpur
2000-02-09,0.0,18.43,47.74,2.35,rangpur
2000-02-10,0.0,18.41,41.27,2.02,rangpur
2000-02-11,0.01,18.32,43.66,2.15,rangpur
2000-02-12,0.93,17.35,60.55,2.62,rangpur
2000-02-13,0.02,19.08,62.35,2.29,rangpur
2000-02-14,0.0,19.53,54.86,2.74,rangpur
2000-02-15,0.0,18.25,36.38,3.14,rangpur
2000-02-16,0.0,18.58,45.35,2.06,rangpur
2000-02-17,0.0,20.34,35.91,1.17,rangpur
2000-02-18,0.0,19.55,35.98,2.23,rangpur
2000-02-19,0.0,17.89,34.34,2.73,rangpur
2000-02-20,0.0,17.86,35.75,2.78,rangpur
2000-02-21,0.0,19.11,35.67,2.38,rangpur
2000-02-22,0.0,19.73,35.33,1.86,rangpur
2000-02-23,0.0,20.02,35.76,3.32,rangpur
2000-02-24,24.65,18.18,40.21,3.05,rangpur
2000-02-25,0.0,18.44,36.16,2.36,rangpur
2000-02-26,0.0,17.83,36.0,2.54,rangpur
2000-02-27,0.0,17.83,37.8,2.91,rangpur
2000-02-28,0.0,18.43,38.62,2.62,rangpur
2000-02-29,0.01,19.09,44.26,3.03,rangpur
2000-03-01,0.01,20.32,44.76,2.5,rangpur
2000-03-02,1.39,21.56,46.33,3.02,rangpur
2000-03-03,0.25,23.71,44.6,2.57,rangpur
2000-03-04,0.42,24.93,31.78,1.32,rangpur
2000-03-05,0.13,25.73,36.11,1.85,rangpur
2000-03-06,0.03,25.44,43.53,1.46,rangpur
2000-03-07,0.13,24.92,41.0,2.06,rangpur
2000-03-08,12.9,24.57,43.51,1.7,rangpur
2000-03-09,0.23,21.35,38.75,4.19,rangpur
2000-03-10,0.01,20.49,35.26,2.63,rangpur
2000-03-11,0.0,21.07,41.01,2.77,rangpur
2000-03-12,1.52,22.66,50.24,2.89,rangpur
2000-03-13,3.33,24.2,64.99,3.42,rangpur
2000-03-14,0.98,26.03,65.4,2.99,rangpur
2000-03-15,0.52,24.0,43.43,3.76,rangpur
2000-03-16,0.02,22.06,30.12,2.36,rangpur
2000-03-17,0.0,22.46,35.4,2.41,rangpur
2000-03-18,0.0,23.5,37.97,2.41,rangpur
2000-03-19,0.01,25.58,39.84,2.07,rangpur
2000-03-20,0.0,25.36,36.6,1.91,rangpur
2000-03-21,0.08,24.55,26.94,1.86,rangpur
2000-03-22,0.0,24.52,35.57,2.75,rangpur
2000-03-23,0.18,23.95,40.1,4.21,rangpur
2000-03-24,1.3,24.11,50.78,2.74,rangpur
2000-03-25,0.0,24.68,36.26,3.2,rangpur
2000-03-26,0.0,24.54,37.76,3.0,rangpur
