date,rainfall_mm,temp_c,humidity_pct,wind_speed_ms,station
2000-01-01,0.0,17.5,76.45,3.89,barisal
2000-01-02,0.0,17.66,74.18,3.57,barisal
2000-01-03,0.0,17.28,74.41,3.52,barisal
2000-01-04,0.0,17.13,73.75,3.9,barisal
2000-01-05,0.0,16.76,71.71,3.47,barisal
2000-01-06,0.0,16.69,71.27,3.45,barisal
2000-01-07,0.0,16.52,68.98,3.31,barisal
2000-01-08,0.0,16.31,64.28,3.41,barisal
2000-01-09,0.0,16.91,63.13,3.11,barisal
2000-01-10,0.0,18.06,63.56,2.05,barisal
2000-01-11,0.0,19.08,63.21,2.39,barisal
2000-01-12,0.0,19.51,66.85,2.25,barisal
2000-01-13,0.0,19.91,68.57,2.14,barisal
2000-01-14,0.0,20.86,78.58,1.81,barisal
2000-01-15,0.0,20.72,67.33,2.29,barisal
2000-01-16,0.18,20.81,66.81,2.38,barisal
2000-01-17,0.0,18.66,67.22,4.14,barisal
2000-01-18,0.0,16.28,56.77,3.99,barisal
2000-01-19,0.0,17.09,59.32,2.69,barisal
2000-01-20,0.0,18.38,64.58,2.45,barisal
2000-01-21,0.67,20.37,85.61,3.11,barisal
2000-01-22,2.7,21.68,82.99,2.31,barisal
2000-01-23,8.62,20.82,87.17,3.03,barisal
2000-01-24,0.15,21.18,79.49,2.01,barisal
2000-01-25,0.0,19.48,68.48,3.33,barisal
2000-01-26,0.0,19.32,65.61,3.59,barisal
2000-01-27,0.0,19.98,61.9,2.55,barisal
2000-01-28,0.0,20.31,57.45,1.89,barisal
2000-01-29,1.66,20.45,71.51,2.01,barisal
2000-01-30,0.02,19.64,69.56,2.43,barisal
2000-01-31,0.0,19.58,60.54,1.86,barisal
2000-02-01,0.0,20.12,61.69,1.84,barisal
2000-02-02,0.01,20.32,75.95,2.89,barisal
2000-02-03,0.49,21.56,80.9,2.89,barisal
2000-02-04,0.24,22.6,78.02,2.05,barisal
2000-02-05,3.6,22.45,83.03,2.37,barisal
2000-02-06,1.71,22.49,78.57,1.79,barisal
2000-02-07,0.23,22.29,76.2,1.93,barisal
2000-02-08,0.0,20.97,69.34,2.74,barisal
2000-02-09,0.15,20.67,61.98,2.93,barisal
2000-02-10,0.28,21.11,66.04,1.61,barisal
2000-02-11,0.0,20.85,60.48,2.83,barisal
2000-02-12,0.51,20.89,54.08,2.57,barisal
2000-02-13,0.01,21.7,61.8,4.29,barisal
2000-02-14,0.03,22.02,61.55,4.92,barisal
2000-02-15,0.0,20.85,53.73,5.31,barisal
2000-02-16,0.0,19.67,45.82,3.74,barisal
2000-02-17,0.0,20.86,46.11,2.17,barisal
2000-02-18,3.22,20.69,72.43,2.03,barisal
2000-02-19,0.01,20.13,54.38,3.08,barisal
2000-02-20,0.0,20.35,43.87,2.65,barisal
2000-02-21,0.0,21.24,45.05,2.48,barisal
2000-02-22,0.0,21.03,48.42,3.49,barisal
2000-02-23,0.0,21.89,46.11,4.13,barisal
2000-02-24,0.0,21.97,46.06,3.69,barisal
2000-02-25,0.0,21.66,43.67,4.06,barisal
2000-02-26,0.05,20.45,45.12,3.84,barisal
2000-02-27,0.0,21.56,45.28,2.06,barisal
2000-02-28,0.0,22.76,44.57,1.85,barisal
2000-02-29,0.0,21.86,46.98,2.17,barisal
2000-03-01,0.0,23.21,65.69,2.36,barisal
2000-03-02,3.45,24.91,78.72,5.33,barisal
2000-03-03,1.81,25.32,78.29,4.27,barisal
2000-03-04,0.04,25.35,75.3,3.77,barisal
2000-03-05,0.07,25.9,74.54,3.74,barisal
2000-03-06,0.0,25.96,74.72,3.92,barisal
2000-03-07,0.0,26.47,69.95,2.83,barisal
2000-03-08,0.5,26.62,67.73,4.23,barisal
2000-03-09,18.39,25.42,75.35,1.76,barisal
2000-03-10,0.49,25.16,61.51,1.54,barisal
2000-03-11,0.0,25.02,72.4,3.57,barisal
2000-03-12,0.93,25.77,77.03,5.77,barisal
2000-03-13,5.08,25.92,78.7,6.84,barisal
2000-03-14,4.81,26.14,76.69,6.48,barisal
2000-03-15,8.21,26.0,72.09,1.96,barisal
2000-03-16,0.21,25.52,60.94,1.4,barisal
2000-03-17,0.12,24.38,58.78,2.54,barisal
2000-03-18,0.0,25.45,67.88,2.81,barisal
2000-03-19,0.0,26.14,69.54,2.93,barisal
2000-03-20,0.0,27.16,67.6,1.93,barisal
2000-03-21,0.0,26.37,53.25,2.99,barisal
2000-03-22,0.0,25.7,37.85,3.46,barisal
2000-03-23,0.0,26.77,38.54,3.42,barisal
2000-03-24,0.0,26.53,50.56,4.71,barisal
2000-03-25,0.0,27.16,48.78,4.54,barisal
2000-03-26,0.0,26.32,42.02,4.43,barisal
2000-03-27,0.0,27.6,42.89,2.27,barisal
2000-03-28,0.0,27.57,63.24,2.38,barisal
2000-03-29,0.0,27.42,65.45,3.27,barisal
2000-03-30,0.0,27.37,67.96,3.82,barisal
2000-03-31,0.0,27.43,67.45,3.62,barisal
2000-04-01,0.0,28.83,67.09,4.65,barisal
2000-04-02,0.0,28.41,72.71,6.38,barisal
2000-04-03,0.0,28.43,73.01,5.75,barisal
2000-04-04,0.0,28.65,71.49,5.22,barisal
2000-04-05,0.0,28.75,72.76,5.12,barisal
2000-04-06,0.0,28.65,71.64,5.74,barisal
2000-04-07,0.0,28.71,71.78,5.14,barisal
2000-04-08,0.0,29.49,70.32,4.52,barisal
2000-04-09,0.0,29.07,73.16,5.13,barisal
2000-04-10,0.03,28.6,77.43,4.69,barisal
2000-04-11,0.07,28.95,75.94,4.32,barisal
2000-04-12,6.98,27.76,77.98,3.46,barisal
2000-04-13,0.26,28.88,68.86,3.44,barisal
2000-04-14,0.1,28.93,68.0,3.23,barisal
2000-04-15,3.63,28.26,70.95,2.93,barisal
2000-04-16,11.27,27.88,73.06,2.33,barisal
2000-04-17,0.34,28.75,70.61,2.83,barisal
2000-04-18,0.44,29.27,72.08,4.02,barisal
2000-04-19,2.3,29.47,71.94,3.8,barisal
2000-04-20,3.83,28.48,76.99,3.77,barisal
2000-04-21,2.71,28.61,75.92,4.7,barisal
2000-04-22,1.18,27.88,79.17,4.21,barisal
2000-04-23,3.69,28.55,77.28,4.9,barisal
2000-04-24,25.02,27.36,82.7,5.06,barisal
2000-04-25,10.19,27.88,79.24,4.18,barisal
2000-04-26,13.3,27.46,81.21,4.09,barisal
2000-04-27,1.31,28.32,77.74,4.12,barisal
2000-04-28,1.4,28.33,80.78,5.11,barisal
2000-04-29,4.47,28.79,81.54,6.07,barisal
2000-04-30,9.29,27.82,83.95,6.64,barisal
2000-05-01,15.67,27.87,84.95,6.22,barisal
2000-05-02,22.82,27.67,86.6,5.24,barisal
2000-05-03,2.2,26.78,87.89,3.15,barisal
2000-05-04,1.04,26.27,83.33,2.53,barisal
2000-05-05,0.81,27.39,73.49,2.91,barisal
2000-05-06,2.03,27.83,76.66,2.86,barisal
2000-05-07,3.75,27.57,80.04,2.72,barisal
2000-05-08,0.75,27.82,79.58,2.15,barisal
2000-05-09,1.55,28.38,79.95,1.69,barisal
2000-05-10,0.98,28.66,80.0,2.04,barisal
2000-05-11,1.34,29.2,76.71,1.95,barisal
2000-05-12,0.11,29.42,76.73,1.91,barisal
2000-05-13,0.08,30.93,69.97,1.87,barisal
2000-05-14,0.4,31.38,68.6,2.69,barisal
2000-05-15,1.06,29.36,76.02,2.38,barisal
2000-05-16,1.93,29.0,77.32,2.27,barisal
2000-05-17,1.09,29.43,76.1,3.51,barisal
2000-05-18,8.08,29.12,81.38,5.03,barisal
2000-05-19,15.4,28.65,89.23,5.22,barisal
2000-05-20,14.49,27.87,87.4,3.67,barisal
2000-05-21,15.51,27.85,87.78,3.59,barisal
2000-05-22,7.35,27.57,87.12,3.99,barisal
2000-05-23,13.48,27.97,87.28,6.0,barisal
2000-05-24,13.9,27.97,90.38,6.29,barisal
2000-05-25,13.72,28.38,90.72,6.12,barisal
2000-05-26,19.34,28.57,88.81,7.49,barisal
2000-05-27,31.3,28.5,89.08,7.24,barisal
2000-05-28,24.43,28.02,91.4,6.25,barisal
2000-05-29,37.58,27.71,91.1,4.7,barisal
2000-05-30,7.63,27.93,87.31,3.44,barisal
2000-05-31,16.12,27.67,90.24,2.54,barisal
2000-06-01,1.18,27.9,89.02,2.96,barisal
2000-06-02,1.1,28.27,85.95,1.76,barisal
2000-06-03,1.57,28.94,83.31,1.57,barisal
2000-06-04,4.55,29.17,85.2,2.34,barisal
2000-06-05,8.52,28.63,87.97,6.68,barisal
2000-06-06,8.02,28.18,89.7,7.51,barisal
2000-06-07,8.63,28.14,89.67,5.32,barisal
2000-06-08,11.58,28.36,89.07,4.67,barisal
2000-06-09,7.9,28.76,87.93,5.01,barisal
2000-06-10,22.48,28.08,91.94,5.99,barisal
2000-06-11,26.11,28.2,91.12,8.2,barisal
2000-06-12,34.6,27.91,92.7,5.03,barisal
2000-06-13,12.11,28.09,89.71,4.42,barisal
2000-06-14,1.42,28.61,87.79,2.56,barisal
2000-06-15,4.28,27.83,88.37,3.24,barisal
2000-06-16,6.81,27.85,88.75,4.26,barisal
2000-06-17,6.73,28.05,89.89,6.64,barisal
2000-06-18,5.41,28.14,89.4,6.27,barisal
2000-06-19,16.35,28.1,90.64,5.96,barisal
2000-06-20,20.35,27.78,90.84,5.06,barisal
2000-06-21,2.85,28.22,88.41,6.06,barisal
2000-06-22,19.76,27.86,88.91,6.97,barisal
2000-06-23,38.39,28.08,91.07,7.28,barisal
2000-06-24,25.39,27.94,92.28,5.58,barisal
2000-06-25,37.49,27.89,91.21,5.1,barisal
2000-06-26,10.23,27.95,89.53,4.39,barisal
2000-06-27,0.96,27.74,91.02,3.5,barisal
2000-06-28,3.5,27.23,92.07,3.64,barisal
2000-06-29,1.76,28.06,87.89,4.31,barisal
2000-06-30,1.92,28.14,87.07,3.57,barisal
2000-07-01,5.03,28.26,86.4,2.92,barisal
2000-07-02,0.48,28.5,85.49,2.24,barisal
2000-07-03,0.13,28.94,83.43,2.29,barisal
2000-07-04,0.0,28.81,81.54,2.31,barisal
2000-07-05,0.01,29.15,83.43,2.68,barisal
2000-07-06,1.03,28.54,87.58,3.36,barisal
2000-07-07,11.98,28.18,89.38,3.16,barisal
2000-07-08,20.08,28.79,88.22,4.81,barisal
2000-07-09,19.88,28.72,88.46,4.47,barisal
2000-07-10,8.73,28.39,90.99,5.06,barisal
2000-07-11,5.43,28.58,91.2,5.81,barisal
2000-07-12,21.1,28.58,89.74,7.85,barisal
2000-07-13,17.69,28.38,88.86,6.78,barisal
2000-07-14,12.72,28.32,89.96,5.06,barisal
2000-07-15,3.6,28.42,89.3,3.71,barisal
2000-07-16,1.88,28.43,90.61,6.66,barisal
2000-07-17,7.62,28.06,91.03,4.76,barisal
2000-07-18,18.07,27.8,91.28,8.44,barisal
2000-07-19,34.24,27.68,91.25,6.02,barisal
2000-07-20,34.88,27.58,92.92,4.98,barisal
2000-07-21,8.87,27.46,93.66,3.5,barisal
2000-07-22,10.56,27.3,91.56,5.03,barisal
2000-07-23,17.38,27.93,90.76,3.68,barisal
2000-07-24,7.18,27.14,93.77,6.28,barisal
2000-07-25,13.56,27.61,91.32,6.53,barisal
2000-07-26,3.45,27.29,89.51,5.9,barisal
2000-07-27,4.33,27.24,90.4,5.08,barisal
2000-07-28,0.5,27.32,90.76,5.11,barisal
2000-07-29,5.01,27.55,89.08,4.26,barisal
2000-07-30,7.69,27.47,89.28,4.07,barisal
2000-07-31,4.59,27.92,87.62,5.63,barisal
2000-08-01,34.06,27.91,89.11,6.29,barisal
2000-08-02,66.18,27.8,91.37,5.23,barisal
2000-08-03,15.05,27.6,93.51,5.41,barisal
2000-08-04,7.41,28.14,90.73,4.41,barisal
2000-08-05,4.87,27.83,89.9,4.34,barisal
2000-08-06,2.37,28.13,88.27,2.5,barisal
