date,rainfall_mm,temp_c,humidity_pct,wind_speed_ms,station
2000-01-01,0.0,17.56,68.01,2.58,dhaka
2000-01-02,0.0,17.46,66.91,2.16,dhaka
2000-01-03,0.0,17.2,62.91,2.37,dhaka
2000-01-04,0.0,16.99,62.36,3.07,dhaka
2000-01-05,0.0,16.97,63.31,2.63,dhaka
2000-01-06,0.0,16.82,62.1,2.47,dhaka
2000-01-07,0.0,16.37,62.5,2.98,dhaka
2000-01-08,0.0,15.57,56.85,2.57,dhaka
2000-01-09,0.0,16.27,57.81,2.54,dhaka
2000-01-10,0.0,17.41,50.01,1.87,dhaka
2000-01-11,0.0,18.0,55.8,2.5,dhaka
2000-01-12,0.0,19.14,54.56,2.11,dhaka
2000-01-13,0.0,20.07,52.61,1.89,dhaka
2000-01-14,0.0,20.93,57.59,1.85,dhaka
2000-01-15,0.0,20.11,57.51,2.44,dhaka
2000-01-16,0.78,20.04,56.85,2.55,dhaka
2000-01-17,0.0,17.54,51.05,3.32,dhaka
2000-01-18,0.0,15.46,44.11,2.48,dhaka
2000-01-19,0.0,16.27,55.49,2.62,dhaka
2000-01-20,0.0,17.35,54.38,2.8,dhaka
2000-01-21,0.04,18.89,74.62,2.77,dhaka
2000-01-22,1.48,20.42,70.61,1.82,dhaka
2000-01-23,2.78,20.71,76.23,2.41,dhaka
2000-01-24,1.19,20.03,71.57,2.17,dhaka
2000-01-25,0.0,19.25,60.26,2.37,dhaka
2000-01-26,0.0,19.17,58.19,2.66,dhaka
2000-01-27,0.0,18.98,57.34,2.63,dhaka
2000-01-28,0.0,20.77,44.68,1.76,dhaka
2000-01-29,2.22,19.46,59.22,1.51,dhaka
2000-01-30,0.0,18.94,52.83,1.84,dhaka
2000-01-31,0.0,18.92,52.1,1.88,dhaka
2000-02-01,0.0,19.58,49.4,1.59,dhaka
2000-02-02,0.31,19.68,63.61,3.06,dhaka
2000-02-03,0.1,21.64,70.81,2.06,dhaka
2000-02-04,1.58,21.54,69.22,2.42,dhaka
2000-02-05,18.29,20.95,75.78,2.29,dhaka
2000-02-06,3.4,21.33,71.28,2.37,dhaka
2000-02-07,0.65,20.23,73.57,1.91,dhaka
2000-02-08,0.0,19.99,61.63,2.27,dhaka
2000-02-09,0.02,19.71,52.38,2.37,dhaka
2000-02-10,0.03,20.28,55.23,2.14,dhaka
2000-02-11,0.0,19.45,47.1,2.61,dhaka
2000-02-12,0.48,19.38,48.78,2.57,dhaka
2000-02-13,0.04,20.72,60.45,3.39,dhaka
2000-02-14,0.28,20.86,55.79,3.58,dhaka
2000-02-15,0.0,19.23,49.16,3.95,dhaka
2000-02-16,0.0,18.37,39.8,2.63,dhaka
2000-02-17,0.0,20.47,37.48,1.77,dhaka
2000-02-18,0.4,20.7,42.85,1.79,dhaka
2000-02-19,0.0,19.32,43.83,2.47,dhaka
2000-02-20,0.0,19.61,34.47,2.25,dhaka
2000-02-21,0.0,20.25,38.08,2.28,dhaka
2000-02-22,0.0,20.22,39.89,2.51,dhaka
2000-02-23,0.0,21.32,34.97,2.93,dhaka
