date,rainfall_mm,temp_c,humidity_pct,wind_speed_ms,station
2000-01-01,0.0,16.46,65.05,3.11,khulna
2000-01-02,0.0,16.59,66.15,3.19,khulna
2000-01-03,0.0,16.37,65.3,3.35,khulna
2000-01-04,0.0,16.07,57.94,3.25,khulna
2000-01-05,0.0,15.75,56.38,3.09,khulna
2000-01-06,0.0,15.41,54.96,3.12,khulna
2000-01-07,0.0,15.5,53.4,3.01,khulna
2000-01-08,0.0,15.46,50.73,2.77,khulna
2000-01-09,0.0,16.62,48.47,2.31,khulna
2000-01-10,0.0,18.43,47.15,1.38,khulna
2000-01-11,0.0,19.19,52.94,1.72,khulna
2000-01-12,0.0,20.08,53.06,1.43,khulna
2000-01-13,0.0,20.75,54.29,1.42,khulna
2000-01-14,0.0,21.03,66.4,2.74,khulna
2000-01-15,0.0,20.95,55.18,2.24,khulna
2000-01-16,0.46,20.95,58.3,2.39,khulna
2000-01-17,0.0,18.04,52.16,3.54,khulna
2000-01-18,0.0,15.43,44.33,3.26,khulna
2000-01-19,0.0,15.99,45.34,3.01,khulna
2000-01-20,0.0,17.99,51.52,2.93,khulna
2000-01-21,0.18,20.98,59.42,1.14,khulna
2000-01-22,0.4,22.0,64.74,1.75,khulna
2000-01-23,4.22,21.85,66.72,1.76,khulna
2000-01-24,0.08,21.34,65.04,1.74,khulna
2000-01-25,0.0,19.26,60.99,3.22,khulna
2000-01-26,0.0,19.23,57.28,3.11,khulna
2000-01-27,0.0,19.88,52.75,2.51,khulna
2000-01-28,0.03,21.07,43.57,1.79,khulna
2000-01-29,0.98,20.23,58.81,2.88,khulna
2000-01-30,0.0,18.37,49.25,2.65,khulna
2000-01-31,0.0,18.94,45.81,2.07,khulna
2000-02-01,0.0,19.78,50.01,1.99,khulna
2000-02-02,1.48,21.2,66.91,3.13,khulna
2000-02-03,2.0,22.4,70.31,1.86,khulna
2000-02-04,0.59,22.27,62.31,2.07,khulna
2000-02-05,9.52,22.22,70.19,2.05,khulna
2000-02-06,2.63,22.7,76.96,1.94,khulna
2000-02-07,0.68,22.1,71.14,2.37,khulna
2000-02-08,0.0,20.94,61.09,2.5,khulna
2000-02-09,0.09,21.47,58.79,1.82,khulna
