date,rainfall_mm,temp_c,humidity_pct,wind_speed_ms,station
2000-01-01,0.0,17.31,68.93,2.1,mymensingh
2000-01-02,0.0,17.06,65.78,1.79,mymensingh
2000-01-03,0.0,17.03,61.27,2.04,mymensingh
2000-01-04,0.0,17.25,59.41,2.33,mymensingh
2000-01-05,0.0,17.11,61.74,1.91,mymensingh
2000-01-06,0.0,17.19,59.12,1.5,mymensingh
2000-01-07,0.0,16.52,59.5,2.47,mymensingh
2000-01-08,0.0,15.96,55.67,1.91,mymensingh
2000-01-09,0.0,16.33,56.82,2.31,mymensingh
2000-01-10,0.0,16.98,49.83,1.86,mymensingh
2000-01-11,0.0,17.68,53.64,2.31,mymensingh
2000-01-12,0.0,18.74,54.96,1.96,mymensingh
2000-01-13,0.0,19.56,53.38,1.69,mymensingh
2000-01-14,0.0,20.42,57.33,2.04,mymensingh
2000-01-15,0.0,19.75,57.98,1.99,mymensingh
2000-01-16,0.52,19.34,56.9,2.48,mymensingh
2000-01-17,0.0,17.21,48.01,3.04,mymensingh
2000-01-18,0.0,15.65,43.09,1.96,mymensingh
2000-01-19,0.0,16.46,56.79,2.3,mymensingh
2000-01-20,0.0,17.25,51.95,2.6,mymensingh
2000-01-21,0.01,18.1,71.05,2.53,mymensingh
2000-01-22,0.73,19.94,63.16,1.84,mymensingh
2000-01-23,3.33,20.01,71.8,2.12,mymensingh
2000-01-24,1.79,19.29,69.05,2.36,mymensingh
2000-01-25,0.0,19.16,58.58,1.89,mymensingh
2000-01-26,0.0,18.98,58.49,2.15,mymensingh
2000-01-27,0.0,18.6,57.66,2.49,mymensingh
2000-01-28,0.02,20.07,46.88,1.93,mymensingh
2000-01-29,1.62,19.31,55.83,1.62,mymensingh
2000-01-30,0.0,18.32,54.48,1.78,mymensingh
2000-01-31,0.0,18.56,50.8,1.7,mymensingh
2000-02-01,0.0,19.17,47.81,1.64,mymensingh
2000-02-02,1.01,19.25,61.58,2.6,mymensingh
2000-02-03,0.17,20.65,68.9,1.96,mymensingh
2000-02-04,2.15,20.47,65.5,2.44,mymensingh
2000-02-05,15.06,20.43,72.01,2.12,mymensingh
2000-02-06,4.7,20.8,70.39,2.27,mymensingh
2000-02-07,1.02,20.28,68.69,1.88,mymensingh
