date,rainfall_mm,temp_c,humidity_pct,wind_speed_ms,station
2000-01-01,0.0,15.95,59.37,2.55,rajshahi
2000-01-02,0.0,16.2,66.65,2.79,rajshahi
2000-01-03,0.0,15.93,60.03,2.7,rajshahi
2000-01-04,0.0,15.46,52.51,2.68,rajshahi
2000-01-05,0.0,15.12,52.45,2.6,rajshahi
2000-01-06,0.0,14.96,52.1,2.58,rajshahi
2000-01-07,0.0,15.51,47.26,2.53,rajshahi
2000-01-08,0.0,15.02,45.39,2.04,rajshahi
2000-01-09,0.0,16.47,42.49,1.37,rajshahi
2000-01-10,0.0,16.87,47.12,1.82,rajshahi
2000-01-11,0.0,17.45,54.2,1.87,rajshahi
2000-01-12,0.0,18.46,54.84,1.48,rajshahi
2000-01-13,0.0,19.11,58.23,1.35,rajshahi
2000-01-14,0.0,19.3,66.6,2.54,rajshahi
2000-01-15,0.03,19.02,56.24,2.68,rajshahi
2000-01-16,1.53,19.13,59.32,2.31,rajshahi
2000-01-17,0.0,15.26,48.28,3.84,rajshahi
2000-01-18,0.0,13.94,45.44,2.62,rajshahi
2000-01-19,0.0,15.28,42.53,2.31,rajshahi
2000-01-20,0.0,17.02,47.29,2.35,rajshahi
2000-01-21,0.0,18.26,51.18,1.67,rajshahi
2000-01-22,0.12,18.62,65.04,2.49,rajshahi
2000-01-23,1.44,19.09,66.71,2.52,rajshahi
2000-01-24,2.56,18.55,70.79,2.46,rajshahi
2000-01-25,0.0,18.12,65.27,2.73,rajshahi
2000-01-26,0.0,18.17,62.32,2.76,rajshahi
2000-01-27,0.0,19.3,51.61,1.68,rajshahi
2000-01-28,0.34,19.34,52.56,2.98,rajshahi
2000-01-29,1.38,18.53,56.6,2.78,rajshahi
2000-01-30,0.0,17.75,45.95,1.8,rajshahi
2000-01-31,0.0,18.05,47.28,1.64,rajshahi
2000-02-01,0.0,18.62,54.86,1.95,rajshahi
2000-02-02,3.66,18.94,67.83,2.69,rajshahi
2000-02-03,0.1,19.12,68.05,2.36,rajshahi
2000-02-04,0.0,19.29,59.14,2.35,rajshahi
2000-02-05,14.15,19.42,68.05,2.39,rajshahi
2000-02-06,9.37,19.07,82.98,3.24,rajshahi
2000-02-07,0.65,19.73,71.74,2.51,rajshahi
2000-02-08,0.0,20.28,53.27,1.65,rajshahi
2000-02-09,0.01,20.02,57.71,2.12,rajshahi
2000-02-10,0.0,19.43,54.73,1.7,rajshahi
2000-02-11,0.14,19.41,46.46,2.01,rajshahi
2000-02-12,3.25,19.13,61.88,2.59,rajshahi
2000-02-13,0.14,20.34,64.6,2.18,rajshahi
2000-02-14,0.0,19.61,54.06,3.34,rajshahi
2000-02-15,0.0,18.52,38.51,3.77,rajshahi
2000-02-16,0.0,18.26,32.95,2.19,rajshahi
2000-02-17,0.0,20.62,31.99,1.51,rajshahi
2000-02-18,0.14,19.85,41.16,2.83,rajshahi
2000-02-19,0.0,18.53,36.11,2.78,rajshahi
2000-02-20,0.0,18.32,40.86,2.69,rajshahi
2000-02-21,0.02,19.8,39.47,1.91,rajshahi
2000-02-22,0.0,20.91,42.86,1.53,rajshahi
2000-02-23,0.01,21.23,49.37,3.06,rajshahi
2000-02-24,6.65,19.92,42.26,3.0,rajshahi
2000-02-25,0.0,18.72,38.39,3.38,rajshahi
2000-02-26,0.0,18.1,39.67,2.95,rajshahi
2000-02-27,0.0,19.23,47.45,3.09,rajshahi
2000-02-28,0.0,19.62,33.73,2.53,rajshahi
2000-02-29,0.01,19.76,40.56,2.15,rajshahi
2000-03-01,0.0,21.17,40.75,2.33,rajshahi
2000-03-02,0.39,22.08,47.88,2.53,rajshahi
2000-03-03,0.04,24.49,46.88,2.15,rajshahi
2000-03-04,0.01,26.07,30.75,1.28,rajshahi
2000-03-05,0.19,26.21,41.22,2.28,rajshahi
2000-03-06,0.0,26.17,52.17,2.14,rajshahi
2000-03-07,0.0,26.14,34.25,1.61,rajshahi
2000-03-08,10.99,24.49,51.58,2.06,rajshahi
2000-03-09,0.73,21.72,38.41,4.05,rajshahi
2000-03-10,0.0,21.84,31.74,2.63,rajshahi
2000-03-11,0.0,22.58,36.66,2.37,rajshahi
2000-03-12,0.17,24.43,54.13,2.57,rajshahi
2000-03-13,5.31,25.71,67.48,2.8,rajshahi
2000-03-14,0.59,26.52,58.11,3.14,rajshahi
2000-03-15,0.0,24.02,39.2,3.42,rajshahi
2000-03-16,0.01,23.11,27.62,2.43,rajshahi
2000-03-17,0.0,24.17,27.25,2.16,rajshahi
2000-03-18,0.0,24.94,32.06,1.84,rajshahi
2000-03-19,0.0,26.37,47.74,2.18,rajshahi
2000-03-20,0.0,25.99,33.97,2.4,rajshahi
2000-03-21,0.0,25.05,21.19,2.16,rajshahi
2000-03-22,0.0,26.42,24.87,2.01,rajshahi
2000-03-23,0.1,25.08,35.66,3.73,rajshahi
2000-03-24,0.24,25.2,49.24,3.04,rajshahi
2000-03-25,0.0,25.65,33.86,2.76,rajshahi
2000-03-26,0.0,26.37,29.83,2.34,rajshahi
2000-03-27,0.08,28.23,24.13,1.63,rajshahi
2000-03-28,0.04,28.68,28.75,1.65,rajshahi
2000-03-29,0.01,28.75,31.66,2.02,rajshahi
2000-03-30,0.0,28.88,41.66,3.03,rajshahi
2000-03-31,0.0,28.93,41.61,3.19,rajshahi
2000-04-01,0.0,29.45,39.84,4.0,rajshahi
2000-04-02,0.0,30.38,28.49,4.32,rajshahi
2000-04-03,0.0,29.89,30.48,3.38,rajshahi
2000-04-04,0.0,29.83,23.1,4.28,rajshahi
2000-04-05,0.0,30.33,24.61,3.65,rajshahi
2000-04-06,0.0,30.91,27.71,3.21,rajshahi
2000-04-07,0.0,31.43,31.06,2.27,rajshahi
