date,rainfall_mm,temp_c,humidity_pct,wind_speed_ms,station
2000-01-01,0.0,18.15,61.41,2.45,sylhet
2000-01-02,0.0,17.99,55.87,2.63,sylhet
2000-01-03,0.0,17.06,62.79,2.63,sylhet
2000-01-04,0.0,17.17,64.07,2.32,sylhet
2000-01-05,0.0,17.01,66.98,2.47,sylhet
2000-01-06,0.0,16.93,67.63,2.3,sylhet
2000-01-07,0.0,16.48,66.55,2.18,sylhet
2000-01-08,0.0,15.43,67.94,2.39,sylhet
2000-01-09,0.0,15.82,65.29,2.2,sylhet
2000-01-10,0.0,15.68,64.82,2.34,sylhet
2000-01-11,0.0,17.6,60.65,2.58,sylhet
2000-01-12,0.0,17.27,65.34,2.41,sylhet
2000-01-13,0.0,18.25,63.91,2.29,sylhet
2000-01-14,0.0,18.74,65.46,2.05,sylhet
2000-01-15,0.01,17.62,69.44,2.51,sylhet
2000-01-16,0.22,17.79,67.96,2.88,sylhet
2000-01-17,0.0,16.99,59.71,2.53,sylhet
2000-01-18,0.0,15.84,66.87,2.74,sylhet
2000-01-19,0.0,16.6,66.72,2.77,sylhet
2000-01-20,0.0,16.19,61.73,2.13,sylhet
2000-01-21,0.12,16.08,68.32,2.45,sylhet
2000-01-22,1.05,17.75,69.74,2.71,sylhet
2000-01-23,12.91,17.5,76.18,2.32,sylhet
2000-01-24,0.11,17.72,73.6,2.61,sylhet
2000-01-25,0.0,17.45,70.95,2.78,sylhet
2000-01-26,0.0,18.48,61.46,2.88,sylhet
2000-01-27,0.0,17.4,65.5,2.74,sylhet
2000-01-28,0.02,17.52,61.45,2.62,sylhet
2000-01-29,2.75,17.2,66.51,2.31,sylhet
2000-01-30,0.0,16.66,69.43,2.27,sylhet
2000-01-31,0.0,16.74,66.68,2.82,sylhet
2000-02-01,0.02,16.63,62.81,2.36,sylhet
2000-02-02,2.28,17.39,63.55,2.46,sylhet
2000-02-03,0.18,18.86,72.54,1.44,sylhet
2000-02-04,2.54,18.94,76.43,1.86,sylhet
